Line,FIFO,Count,Head,Tail
13767,Local,3,2,0
13770,East,1,3,2
13815,Local,3,0,1
13831,Local,3,2,0
13834,East,1,3,2
13880,Local,3,0,1
13899,East,1,3,2
13944,Local,3,0,1
13963,East,1,3,2
14008,Local,3,0,1
14027,East,2,3,3
14070,Local,3,0,1
14089,East,2,3,3
14134,Local,3,0,1
14153,East,1,0,3
14158,Local,1,2,0
14199,Local,4,0,2
14218,East,0,1,3
14223,Local,1,2,0
14262,Local,4,0,2
14281,East,0,1,3
14286,Local,1,2,0
14324,Local,4,0,2
14343,East,0,1,3
14348,Local,1,2,0
14388,Local,3,1,2
14407,East,0,1,3
14412,Local,1,2,0
14451,Local,3,1,2
14470,East,0,1,3
14475,Local,0,3,1
14514,Local,3,1,2
14533,East,1,1,0
14538,Local,0,3,1
14577,Local,3,1,2
14596,East,1,1,0
14601,Local,1,3,2
14639,Local,2,2,2
14658,East,1,1,0
14663,Local,1,3,2
14703,Local,2,2,2
14722,East,1,1,0
14727,Local,1,3,2
14768,Local,3,2,3
14787,East,1,1,0
14792,Local,1,3,2
14834,Local,2,3,3
14853,East,1,1,0
14858,Local,1,3,2
14898,Local,2,3,3
14917,East,0,2,0
14922,Local,2,3,3
14961,Local,2,3,3
14980,East,0,2,0
14985,Local,1,0,3
15025,Local,2,3,3
15044,East,1,2,1
15049,Local,1,0,3
15090,Local,2,3,3
15098,Local,0,1,2
15109,East,0,3,1
15114,Local,1,0,3
15153,Local,1,0,3
15161,Local,0,1,2
15172,East,0,3,1
15177,Local,1,0,3
15218,Local,1,0,3
15226,Local,0,1,2
15237,East,0,3,1
15242,Local,0,1,3
15282,Local,1,0,3
15290,Local,1,1,3
15301,East,0,3,1
15306,Local,1,1,0
15346,Local,1,0,3
15354,Local,1,1,3
15365,East,0,3,1
15370,Local,1,1,0
15410,Local,0,1,3
15418,Local,2,1,0
15429,East,0,3,1
15434,Local,2,1,1
15474,Local,0,1,3
15482,Local,1,2,0
15493,East,0,3,1
15498,Local,1,2,1
15539,Local,0,1,3
15547,Local,2,2,1
15558,East,1,3,2
15563,Local,1,2,1
15603,Local,1,1,0
15611,Local,2,2,1
15622,East,1,3,2
15627,Local,2,2,2
15668,Local,0,2,0
15676,Local,1,3,2
15687,East,1,3,2
15692,Local,2,2,2
15733,Local,0,2,0
15741,Local,1,3,2
15752,East,1,3,2
15757,Local,1,3,3
15797,Local,0,2,0
15805,Local,1,3,2
15816,East,2,3,3
15821,Local,1,3,3
15862,Local,1,2,1
15870,Local,1,3,2
15881,East,2,3,3
15886,Local,1,3,3
15926,Local,1,2,1
15934,Local,2,3,3
15945,East,2,3,3
15950,Local,2,3,0
15989,Local,1,2,1
15997,Local,1,0,3
16008,East,2,3,3
16013,Local,2,3,0
16054,Local,0,3,1
16062,Local,1,0,3
16073,East,3,3,0
16078,Local,2,3,0
16117,Local,1,3,2
16125,Local,1,0,3
16136,East,3,3,0
16141,Local,2,3,0
16179,Local,1,3,2
16187,Local,1,0,3
16198,East,2,0,0
16203,Local,2,3,0
16244,Local,1,3,2
16252,Local,2,0,0
16263,East,1,1,0
16268,Local,1,0,0
16309,Local,0,0,2
16317,Local,2,0,0
16328,East,0,2,0
16333,Local,1,0,0
16373,Local,0,0,2
16381,Local,2,0,0
16392,East,0,2,0
16397,Local,2,0,1
16435,Local,0,0,2
16443,Local,2,0,0
16454,East,0,2,0
16459,Local,2,0,1
16498,Local,1,0,3
16506,Local,1,1,0
16517,East,0,2,0
16522,Local,2,0,1
16561,Local,1,0,3
16569,Local,1,1,0
16580,East,0,2,0
16585,Local,2,0,1
16625,Local,1,0,3
16633,Local,1,1,0
16644,East,0,2,0
16649,Local,2,0,1
16689,Local,2,0,0
16697,Local,0,2,0
16708,East,0,2,0
16713,Local,2,0,1
16753,Local,2,0,0
16761,Local,1,2,1
16772,East,0,2,0
16777,Local,1,1,1
16816,Local,2,0,0
16824,Local,1,2,1
16835,East,0,2,0
16840,Local,1,1,1
16882,Local,2,0,0
16890,Local,1,2,1
16901,East,0,2,0
16906,Local,2,1,2
16947,Local,1,1,1
16955,Local,2,2,2
16966,East,0,2,0
16971,Local,2,1,2
17010,Local,1,1,1
17018,Local,2,2,2
17029,East,0,2,0
17034,Local,1,2,2
17074,Local,1,1,1
17082,Local,3,2,3
17093,East,0,2,0
17098,Local,1,2,2
17137,Local,2,1,2
17145,Local,3,2,3
17156,East,0,2,0
17161,Local,1,2,2
17200,Local,2,1,2
17208,Local,3,2,3
17219,East,0,2,0
17224,Local,1,2,2
17266,Local,2,1,2
17274,Local,2,3,0
17285,East,0,2,0
17328,Local,2,1,2
17336,Local,2,3,0
17347,East,0,2,0
17394,Local,2,1,2
17402,Local,2,3,0
17413,East,0,2,0
17458,Local,3,1,3
17466,Local,3,3,1
17477,East,0,2,0
17524,Local,3,1,3
17532,Local,2,0,1
17536,West,2,0,3
17543,East,0,2,0
17590,Local,4,1,0
17598,Local,3,0,2
17602,West,2,0,3
17609,East,1,2,1
17656,Local,4,1,0
17664,Local,3,0,2
17668,West,2,0,3
17675,East,0,3,1
17721,Local,4,1,0
17729,Local,4,0,3
17733,West,2,0,3
17740,East,0,3,1
17785,Local,4,1,0
17793,Local,3,1,3
17797,West,1,1,3
17804,East,0,3,1
17847,Local,4,1,0
17855,Local,3,1,3
17859,West,1,1,3
17866,East,0,3,1
17913,Local,4,1,0
17921,Local,3,1,3
17925,West,1,1,3
17932,East,0,3,1
17977,Local,4,1,0
17985,Local,4,1,0
17989,West,1,1,3
17993,Local,2,1,0
17996,East,0,3,1
18040,Local,4,1,0
18048,Local,3,2,0
18052,West,0,2,3
18056,Local,2,1,0
18059,East,0,3,1
18103,Local,4,1,0
18111,Local,3,2,0
18115,West,0,2,3
18119,Local,2,1,0
18122,East,0,3,1
18169,Local,4,1,0
18177,Local,3,2,0
18181,West,0,2,3
18185,Local,2,1,0
18188,East,0,3,1
18232,Local,4,1,0
18240,Local,4,2,1
18244,West,0,2,3
18248,Local,2,1,0
18251,East,0,3,1
18296,Local,4,1,0
18304,Local,3,3,1
18308,West,0,2,3
18312,Local,3,1,1
18315,East,0,3,1
18360,Local,4,1,0
18368,Local,3,3,1
18372,West,0,2,3
18376,Local,3,1,1
18379,East,1,3,2
18424,Local,4,1,0
18432,Local,4,3,2
18436,West,0,2,3
18440,Local,4,1,2
18443,East,1,3,2
18485,Local,4,1,0
18493,Local,4,3,2
18497,West,0,2,3
18501,Local,4,1,2
18504,East,1,3,2
18548,Local,4,1,0
18556,Local,3,0,2
18560,West,0,2,3
18564,Local,4,1,2
18567,East,0,0,2
18612,Local,4,1,0
18620,Local,3,0,2
18624,West,0,2,3
18628,Local,4,1,2
18631,East,1,0,3
18676,Local,4,1,0
18684,Local,4,0,3
18688,West,0,2,3
18692,Local,4,1,2
18695,East,1,0,3
18737,Local,4,1,0
18745,Local,4,0,3
18749,West,0,2,3
18753,Local,4,1,2
18756,East,1,0,3
18800,Local,4,1,0
18808,Local,3,1,3
18812,West,0,2,3
