packet_id,seen_in_waveguide,last_cycle_seen,last_tag,last_line
3-433,False,,FIFO,Local FIFO c=3   : 3-433(d=0) 3-437(d=3) 3-439(d=3) x
3-457,False,,FIFO,Local FIFO c=3   : 3-457(d=3) 3-460(d=3) 3-463(d=3) x
3-460,False,,FIFO,Local FIFO c=3   : 3-460(d=3) 3-463(d=3) 3-467(d=3) x
3-467,True,,Router,"R->L  [0: :3-469] [1: :3-469] [2:V:3-469] [3: :3-467]  Connecting router 2,2 with router 3,3"
3-469,True,,Router,"R->L  [0:V:3-473] [1: :3-469] [2: :3-469] [3: :3-469]  Connecting router 0,1 with router 2,0"
3-473,True,,Waveguide,"R->L  [0:V:3-473] [1: :3-469] [2: :3-469] [3: :3-469]  Connecting router 0,1 with router 2,0"
3-478,True,,Waveguide,"R->L  [0:V:3-478] [1: :3-488] [2: :3-488] [3: :3-488]  Connecting router 2,2 with router 3,3"
3-484,False,,FIFO,Local FIFO c=1   : 3-484(d=3) x x x
3-486,False,,Other,"IP 3 sending 3-486 to 1,0"
3-488,True,,Router,"R->L  [0:V:3-478] [1: :3-488] [2: :3-488] [3: :3-488]  Connecting router 2,2 with router 3,3"
3-497,False,,Other,"IP 3 sending 3-497 to 0,1"
3-79,False,,FIFO,Local FIFO c=3   : 3-79(d=0) 3-82(d=3) 3-84(d=3) x
3-86,False,,FIFO,Local FIFO c=2   : 3-86(d=0) 3-91(d=3) x x
